	33	005660	嘉实资源精选	01-07	2.4853	2.4853	3.42%	11.27%	24.55%	47.63%	68.14%	92.20%	154.33%	---	11.27%	148.53%	70.03%	0.15%	
	34	005661	嘉实资源精选	01-07	2.4601	2.4601	3.42%	11.26%	24.49%	47.43%	67.72%	91.25%	152.01%	---	11.26%	146.01%	69.21%	0.00%	
	35	160221	国泰国证有色	01-07	1.2355	0.8997	4.09%	12.05%	19.79%	46.44%	43.71%	46.53%	82.94%	13.27%	12.05%	-6.33%	38.28%	0.00%	
	36	008177	建信高股息主	01-07	1.6842	1.8347	2.20%	9.38%	28.05%	45.97%	68.05%	---	---	---	9.38%	90.48%	50.98%	0.15%	
	37	001054	工银新金融股	01-07	2.9120	2.9120	2.93%	8.98%	21.69%	45.67%	55.56%	118.62%	234.33%	166.18%	8.98%	191.20%	90.59%	0.15%	
	38	000409	鹏华环保产业	01-07	4.5640	4.5640	3.05%	9.47%	25.66%	45.21%	64.17%	124.28%	217.16%	154.83%	9.47%	356.40%	101.93%	0.15%	
	39	001008	工银国企改革	01-07	2.5020	2.5020	3.56%	9.16%	23.56%	44.96%	59.67%	95.47%	173.14%	114.03%	9.16%	150.20%	67.79%	0.15%	
	40	002168	嘉实智能汽车	01-07	3.8000	3.8000	0.13%	5.64%	24.79%	44.65%	45.93%	92.50%	229.29%	148.37%	5.64%	280.00%	78.87%	0.15%	
	41	004432	南方有色金属	01-07	1.1230	1.1230	3.63%	10.91%	19.28%	44.59%	39.68%	44.23%	86.82%	17.16%	10.91%	12.30%	38.13%	0.12%	
	42	004433	南方有色金属	01-07	1.1082	1.1082	3.63%	10.90%	19.24%	44.43%	39.40%	43.66%	85.35%	15.78%	10.90%	10.82%	37.58%	0.00%	
	43	003984	嘉实新能源新	01-07	3.0148	3.0148	0.96%	6.91%	23.73%	44.23%	49.95%	109.97%	248.85%	151.74%	6.91%	201.48%	94.72%	0.15%	
	44	003985	嘉实新能源新	01-07	2.9772	2.9772	0.96%	6.90%	23.68%	44.03%	49.58%	108.93%	246.79%	149.70%	6.90%	197.72%	93.75%	0.00%	
	45	000592	建信改革红利	01-07	5.3640	5.3640	2.82%	8.67%	24.48%	43.88%	62.45%	108.55%	250.13%	130.51%	8.67%	436.40%	88.60%	0.15%	
	46	004640	华夏节能环保	01-07	2.3145	2.3145	2.83%	9.68%	28.66%	43.45%	66.73%	123.82%	232.50%	152.70%	9.68%	131.45%	100.00%	0.15%	
	47	003853	金鹰信息产业	01-07	3.5040	3.5220	0.81%	4.36%	21.87%	42.22%	42.33%	89.65%	219.39%	244.20%	4.36%	256.70%	90.05%	0.12%	
	48	005894	华夏优势精选	01-07	2.2579	2.2579	3.54%	10.78%	30.74%	42.18%	36.50%	72.29%	140.69%	---	10.78%	125.79%	34.70%	0.15%	
	49	000793	工银高端制造	01-07	2.2320	2.2320	2.48%	7.67%	26.32%	42.17%	65.21%	135.94%	261.17%	108.40%	7.67%	123.20%	109.32%	0.15%	
	50	005885	金鹰信息产业	01-07	3.5065	3.5065	0.80%	4.35%	21.83%	42.07%	42.04%	88.91%	217.70%	---	4.35%	240.40%	89.29%	0.00%
